1,conference,会議
2,department,部署
3,schedule,"予定, 計画"
4,applicant,応募者
5,ingredient,食材
6,famous,有名な
7,worry,心配する
8,consumer,消費者
9,responsible,責任がある
10,performance,公演
11,client,顧客
12,document,文書
13,library,図書館
14,despite,…にもかかわらず
15,continue,続ける
16,attach,添付する
17,appear,…のように見える
18,appreciate,感謝する
19,protection,保護
20,personnel,人事部
21,provide,提供する
22,opportunity,機会
23,deadline,締め切り
24,conversation,会話
25,grocery,食料品店
26,comfortable,快適な
27,luggage,手荷物
28,ability,能力
29,gain,獲得する
30,solution,解決策
31,understand,理解する
32,soon,すぐ後
33,vehicle,乗り物
34,résumé,履歴書
35,potential,潜在的な
36,catering,仕出し業
37,complimentary,無料の
38,necessary,必要な
39,paperwork,文書業務
40,greet,挨拶をする
41,itinerary,旅行計画
42,questionnaire,アンケート
43,administration,管理
44,advertising,広告
45,annual,年に1度の
46,secretary,秘書
47,definitely,間違いなく
48,affordable,お手頃な
49,directory,名簿
50,otherwise,さもなければ
51,worth,…に値する
52,voucher,クーポン
53,store,蓄え
54,shortage,不足
55,representative,代表する
56,invoice,請求書
57,cuisine,料理
58,instrument,楽器
59,accomplishment,達成
60,blueprint,青写真
61,reservation,予約
62,refund,払い戻す
63,luggage,手荷物
64,inquire,尋ねる
65,frequent,度々の
66,adjust,調整する
67,district,地域
68,administrative,管理の
69,donate,寄付する
70,undergo,経験する
71,emphasize,強調する
72,durable,耐久性のある
73,cashier,レジ係
74,nutrition,栄養
75,patron,顧客
76,identification,身分証明証
77,insurance,保険
78,recommend,を勧める
79,budget,予算
80,replacement,交換
81,zealous,熱心な
82,warrant,証明書
83,souvenir,みやげ
84,facilitate,促進する
85,expire,期限切れ
86,tuition,授業料
87,venue,会場
88,represent,代表する
89,vacancy,空席
90,feasible,実行可能な
91,brochure,パンフレット
92,designate,指名する
93,enthusiastic,熱中して
94,stroll,散歩する
95,approximately,おおよそ
96,conduct,行う
97,pedestrian,歩行者
98,domestic,国内の
99,biography,伝記
100,devote,ささげる
101,warehouse,倉庫
102,speculate,推測する
103,inventory,在庫
104,refreshment,軽食
105,municipal,市政の
106,deserve,…に値する
107,keynote,基調講演
108,illustrate,説明する
109,destination,目的地
110,allocate,割り当てる
111,reputation,評判
112,curb,縁石
113,awful,ひどい
114,vendor,売り主
115,coincidence,偶然の一致
116,encounter,直面する
117,complicated,複雑な
118,crucial,重大な
119,surpass,超える
120,exclusive,排他的な
121,entrepreneur,起業家
122,mandatory,義務的な
123,bulk,大部分
124,adapt,適応させる
125,adopt,採用する
126,welder,溶接工
127,stunning,すてきな
128,proofreader,校正係
129,patent,特許
130,halt,停止する
131,carrier,運搬人
132,admire,賞賛する
133,tailor,仕立て屋
134,steep,急な
135,circulation,循環
136,adequate,…するのに十分な
137,congestion,混雑
138,amend,修正する
139,retain,保持する
140,compensate,補う
141,faculty,能力
142,applause,拍手
143,specification,仕様書
144,obstacle,障害物
145,nominate,推薦する
146,trim,手入れする
147,revenue,歳入
148,posture,姿勢
149,inn,ホテル
150,distinguished,すぐれた
151,courteous,親切な
152,correspondent,特派員
153,allergy,アレルギー
154,duplicate,複製する
155,ample,十分な
156,appetizer,前菜
157,streamline,合理化する
158,commission,手数料
159,alternative,代案
160,alike,同様に
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
